RRN Network: N=5000 degree=20
20,1020,4902,1765,2859,935,726,814,568,4482,2334,1807,1201,1116,4518,2064,130,1858,2706,2333,1338,
20,4123,709,1112,2294,646,3228,3216,3831,1738,113,2789,660,3227,3695,2132,4928,1772,838,1064,697,
20,3105,454,2037,560,4254,3973,518,2346,531,2291,4070,2926,2633,3588,273,4371,4970,3826,2200,2651,
20,1753,2584,2171,2757,1742,1496,1130,462,4954,2289,4556,4257,692,132,4534,755,905,3750,1608,3727,
20,3145,2559,3560,3792,779,4345,2267,1214,2392,54,2606,824,4265,1137,2596,3957,2765,4515,2097,4248,
20,3571,985,2212,4090,4310,3007,3536,1187,2837,407,774,2938,113,1079,341,323,2394,3911,3814,3547,
20,4845,757,1789,2566,2000,3689,4254,3177,1440,295,4029,4010,4551,4633,3004,2483,315,997,3076,4318,
20,3431,4677,436,4453,4655,3798,981,2616,551,2238,4129,2871,3731,9,1686,3612,1858,169,2913,4312,
20,4461,3905,4856,4802,904,2477,3947,2071,687,3778,4696,1831,2189,1028,1014,4653,958,910,2447,2351,
20,4213,695,2221,3170,253,4628,2956,1289,4691,463,2339,2718,3676,316,2647,7,1801,2483,1071,2760,
20,3886,3695,2733,4080,259,621,3630,4655,2014,919,3881,1406,1672,476,3384,3358,1554,2109,2570,1157,
20,1100,1095,4076,2134,2158,29,4802,2356,1096,4816,3847,842,1472,2796,1941,182,1647,3458,1116,1398,
20,194,3048,490,2791,681,2829,3875,3693,80,699,3051,4084,4022,4490,3548,1524,3351,195,4749,3899,
20,2649,2662,19,4353,3016,4123,549,3455,542,3673,1296,2465,1275,184,3562,2838,1842,3951,1130,1282,
20,3867,335,382,2673,500,1011,1660,3390,4648,4655,3790,4394,467,1486,2096,4180,970,1095,1020,2220,
20,1581,4908,2279,2000,3099,4757,4910,1232,3298,2933,716,3712,1305,3048,1932,4352,3616,3819,1628,4014,
20,4646,2904,625,1594,4918,437,1142,3480,4412,3444,3769,562,2829,2074,3210,747,987,3306,2971,4835,
20,4561,3637,4288,251,1585,3811,1587,1512,4209,2811,4002,3900,4139,3457,2235,2076,478,3933,782,3707,
20,4177,2076,390,1732,3635,2569,3942,2123,2623,3378,3856,592,3204,125,1409,1581,1668,1295,3736,1988,
20,3044,4104,2999,13,1383,4385,93,2043,2337,2142,713,635,1150,3715,4097,4706,2995,4158,1119,570,
20,4665,930,2680,2009,771,4357,1914,4738,2967,2491,2984,132,842,501,2745,169,657,431,327,2300,
20,4719,4936,3079,2595,4850,2850,4648,2342,65,2554,2360,3179,887,4030,968,4883,426,262,4662,4512,
20,306,2723,3300,4772,1672,1383,4633,3958,3331,3211,2554,4002,1356,4851,3410,4486,3248,2892,4179,4365,
20,3986,1784,615,45,4102,571,3498,2835,3872,900,1305,1910,3762,362,3082,1681,563,2985,2820,4953,
20,92,2313,109,1626,2636,287,3385,1951,3181,671,732,278,112,1009,593,4286,3325,386,2866,701,
20,381,1181,4017,1535,3033,4008,3547,115,1849,3965,425,3095,4010,3425,1837,550,4162,737,1422,3357,
20,2851,1937,1270,4025,3352,850,3165,3015,3111,2178,3727,288,4628,4177,4043,4938,2333,197,4223,4603,
20,79,3865,3003,4065,1504,97,3731,1431,3791,575,628,4626,3179,1891,2351,2483,2056,3399,2283,2418,
20,2943,1045,3269,2570,1054,849,4396,3899,2829,148,1083,2957,893,3270,2291,1105,2207,2793,752,3488,
20,672,662,2155,3598,11,4256,2704,1822,1309,957,2412,2309,3820,3843,2273,4177,1716,1814,3910,2878,
